metadata.txt	74	2026-05-13T02:23:56.6333730130
rgb_0000.png	290194	2026-05-13T02:23:56.6753716780
rgb_0001.png	430861	2026-05-13T02:23:56.6983709460
rgb_0002.png	243672	2026-05-13T02:23:56.6883712640
rgb_0003.png	363713	2026-05-13T02:23:56.7113705330
rgb_0004.png	381409	2026-05-13T02:23:56.7253700880
rgb_0005.png	392353	2026-05-13T02:23:56.7383696750
rgb_0006.png	401269	2026-05-13T02:23:56.7513692620
rgb_0007.png	411330	2026-05-13T02:23:56.7613689440
rgb_0008.png	415459	2026-05-13T02:23:56.7763684670
rgb_0009.png	421187	2026-05-13T02:23:56.7903680220
rgb_0010.png	420699	2026-05-13T02:23:56.8033676090
rgb_0011.png	424549	2026-05-13T02:23:56.8153672270
rgb_0012.png	428469	2026-05-13T02:23:56.8403664330
rgb_0013.png	434272	2026-05-13T02:23:56.8423663690
rgb_0014.png	438078	2026-05-13T02:23:56.8573658920
rgb_0015.png	441903	2026-05-13T02:23:56.8693655110
rgb_0016.png	439738	2026-05-13T02:23:56.8943647160
rgb_0017.png	446370	2026-05-13T02:23:56.8963646530
rgb_0018.png	447318	2026-05-13T02:23:56.9123641440
rgb_0019.png	446199	2026-05-13T02:23:56.9233637950
rgb_0020.png	446435	2026-05-13T02:23:56.9473630320
rgb_0021.png	448107	2026-05-13T02:23:56.9503629360
rgb_0022.png	455321	2026-05-13T02:23:56.9673623960
rgb_0023.png	457543	2026-05-13T02:23:56.9783620460
rgb_0024.png	461951	2026-05-13T02:23:57.0053611880
rgb_0025.png	457782	2026-05-13T02:23:57.0063611570
rgb_0026.png	462394	2026-05-13T02:23:57.0263605220
rgb_0027.png	468157	2026-05-13T02:23:57.0353602370
rgb_0028.png	462512	2026-05-13T02:23:57.0613594120
rgb_0029.png	469518	2026-05-13T02:23:57.0663592540
rgb_0030.png	467444	2026-05-13T02:23:57.0833587150
rgb_0031.png	469035	2026-05-13T02:23:57.0923584290
rgb_0032.png	469022	2026-05-13T02:23:57.1183576050
rgb_0033.png	468441	2026-05-13T02:23:57.1313571920
rgb_0034.png	467530	2026-05-13T02:23:57.1413568750
rgb_0035.png	468076	2026-05-13T02:23:57.1563564000
rgb_0036.png	466635	2026-05-13T02:23:57.1773557340
rgb_0037.png	469753	2026-05-13T02:23:57.1933552260
rgb_0038.png	468287	2026-05-13T02:23:57.1983550680
rgb_0039.png	472295	2026-05-13T02:23:57.2143545600
rgb_0040.png	476876	2026-05-13T02:23:57.2363538630
rgb_0041.png	471003	2026-05-13T02:23:57.2513533870
rgb_0042.png	469397	2026-05-13T02:23:57.2573531970
rgb_0043.png	474000	2026-05-13T02:23:57.2783525310
rgb_0044.png	470867	2026-05-13T02:23:57.2993518650
rgb_0045.png	470531	2026-05-13T02:23:57.3163513250
rgb_0046.png	474599	2026-05-13T02:23:57.3163513250
rgb_0047.png	473240	2026-05-13T02:23:57.3393505960
rgb_0048.png	470495	2026-05-13T02:23:57.3603499300
rgb_0049.png	469825	2026-05-13T02:23:57.3753494540
rgb_0050.png	469887	2026-05-13T02:23:57.3753494540
rgb_0051.png	471880	2026-05-13T02:23:57.4013486300
rgb_0052.png	472828	2026-05-13T02:23:57.4203480270
rgb_0053.png	475405	2026-05-13T02:23:57.4363475200
rgb_0054.png	467404	2026-05-13T02:23:57.4343475830
rgb_0055.png	474470	2026-05-13T02:23:57.4633466640
rgb_0056.png	475165	2026-05-13T02:23:57.4803461250
rgb_0057.png	470722	2026-05-13T02:23:57.4923457440
rgb_0058.png	476033	2026-05-13T02:23:57.4963456170
rgb_0059.png	474243	2026-05-13T02:23:57.5243447290
rgb_0060.png	474148	2026-05-13T02:23:57.5393442530
rgb_0061.png	481358	2026-05-13T02:23:57.5523438410
rgb_0062.png	475092	2026-05-13T02:23:57.5563437140
rgb_0063.png	478781	2026-05-13T02:23:57.5863427630
rgb_0064.png	479516	2026-05-13T02:23:57.5993423510
rgb_0065.png	474469	2026-05-13T02:23:57.6113419700
rgb_0066.png	474108	2026-05-13T02:23:57.6153418430
rgb_0067.png	477260	2026-05-13T02:23:57.6483407970
rgb_0068.png	479358	2026-05-13T02:23:57.6593404480
rgb_0069.png	474210	2026-05-13T02:23:57.6693401310
rgb_0070.png	475674	2026-05-13T02:23:57.6773398770
rgb_0071.png	478415	2026-05-13T02:23:57.7093388620
rgb_0072.png	478058	2026-05-13T02:23:57.7183385770
rgb_0073.png	478534	2026-05-13T02:23:57.7273382910
