body,q5_deg,band_lo_mm,band_hi_mm,n_pts_in_window,min_r_mm,max_r_mm
gripper_link,88.3100,25.5,26.0,0,,
gripper_link,88.3100,26.0,26.5,0,,
gripper_link,88.3100,26.5,27.0,0,,
gripper_link,88.3100,27.0,27.5,0,,
gripper_link,88.3100,27.5,28.0,0,,
gripper_link,88.3100,28.0,28.5,0,,
gripper_link,88.3100,28.5,29.0,0,,
gripper_link,88.3100,29.0,29.5,0,,
gripper_link,88.3100,29.5,30.0,0,,
gripper_link,60.0000,-5.0,-4.5,0,,
gripper_link,60.0000,-4.5,-4.0,0,,
gripper_link,60.0000,-4.0,-3.5,0,,
gripper_link,60.0000,-3.5,-3.0,0,,
gripper_link,60.0000,-3.0,-2.5,0,,
gripper_link,60.0000,-2.5,-2.0,0,,
gripper_link,60.0000,-2.0,-1.5,0,,
gripper_link,60.0000,-1.5,-1.0,0,,
gripper_link,60.0000,-1.0,-0.5,0,,
gripper_link,60.0000,-0.5,0.0,0,,
gripper_link,60.0000,0.0,0.5,0,,
gripper_link,60.0000,0.5,1.0,0,,
gripper_link,60.0000,1.0,1.5,0,,
gripper_link,60.0000,1.5,2.0,0,,
gripper_link,60.0000,2.0,2.5,0,,
gripper_link,60.0000,2.5,3.0,0,,
gripper_link,60.0000,3.0,3.5,0,,
gripper_link,60.0000,3.5,4.0,0,,
gripper_link,60.0000,4.0,4.5,0,,
gripper_link,60.0000,4.5,5.0,0,,
gripper_link,60.0000,5.0,5.5,0,,
gripper_link,60.0000,5.5,6.0,0,,
gripper_link,60.0000,6.0,6.5,0,,
gripper_link,60.0000,6.5,7.0,0,,
gripper_link,60.0000,7.0,7.5,0,,
gripper_link,60.0000,7.5,8.0,0,,
gripper_link,60.0000,8.0,8.5,0,,
gripper_link,60.0000,8.5,9.0,0,,
gripper_link,60.0000,9.0,9.5,0,,
gripper_link,60.0000,9.5,10.0,0,,
gripper_link,60.0000,10.0,10.5,0,,
gripper_link,60.0000,10.5,11.0,0,,
gripper_link,60.0000,11.0,11.5,0,,
gripper_link,60.0000,11.5,12.0,0,,
gripper_link,60.0000,12.0,12.5,0,,
gripper_link,60.0000,12.5,13.0,0,,
gripper_link,60.0000,13.0,13.5,0,,
gripper_link,60.0000,13.5,14.0,0,,
gripper_link,60.0000,14.0,14.5,0,,
gripper_link,60.0000,14.5,15.0,0,,
gripper_link,60.0000,15.0,15.5,0,,
gripper_link,60.0000,15.5,16.0,0,,
gripper_link,60.0000,16.0,16.5,0,,
gripper_link,60.0000,16.5,17.0,0,,
gripper_link,60.0000,17.0,17.5,0,,
gripper_link,60.0000,17.5,18.0,0,,
gripper_link,60.0000,18.0,18.5,0,,
gripper_link,60.0000,18.5,19.0,0,,
gripper_link,60.0000,19.0,19.5,0,,
gripper_link,60.0000,19.5,20.0,0,,
gripper_link,60.0000,20.0,20.5,0,,
gripper_link,60.0000,20.5,21.0,0,,
gripper_link,60.0000,21.0,21.5,0,,
gripper_link,60.0000,21.5,22.0,0,,
gripper_link,60.0000,22.0,22.5,0,,
gripper_link,60.0000,22.5,23.0,0,,
gripper_link,60.0000,23.0,23.5,0,,
gripper_link,60.0000,23.5,24.0,0,,
gripper_link,60.0000,24.0,24.5,0,,
gripper_link,60.0000,24.5,25.0,0,,
gripper_link,60.0000,25.0,25.5,0,,
gripper_link,60.0000,25.5,26.0,0,,
gripper_link,60.0000,26.0,26.5,0,,
gripper_link,60.0000,26.5,27.0,0,,
gripper_link,60.0000,27.0,27.5,0,,
gripper_link,60.0000,27.5,28.0,0,,
gripper_link,60.0000,28.0,28.5,0,,
gripper_link,60.0000,28.5,29.0,0,,
gripper_link,60.0000,29.0,29.5,0,,
gripper_link,60.0000,29.5,30.0,0,,
gripper_link,45.0000,-5.0,-4.5,0,,
gripper_link,45.0000,-4.5,-4.0,0,,
gripper_link,45.0000,-4.0,-3.5,0,,
gripper_link,45.0000,-3.5,-3.0,0,,
gripper_link,45.0000,-3.0,-2.5,0,,
gripper_link,45.0000,-2.5,-2.0,0,,
gripper_link,45.0000,-2.0,-1.5,0,,
