leg,physics_step,phase,q5_deg,delta_mm,tilt_deg,clr_fixed_mm_MA,clr_moving_mm_MA,clr_fixed_mm_MB,clr_moving_mm_MB,clr_fixed_mm_visual,clr_moving_mm_visual,fixed_argmin_part,moving_argmin_part,fixed_n_inside,moving_n_inside
1,431,close,44.7709,-1.176895,1.5138,-0.032948,24.750872,-0.018245,24.746433,-0.033159,24.785761,part_029,part_045,19,0
1,432,close,44.1621,-1.177252,1.5154,-0.033699,24.271861,-0.018972,24.267343,-0.033910,24.314054,part_029,part_045,19,0
1,433,close,43.6632,-1.177937,1.5163,-0.033484,23.878549,-0.018710,23.873995,-0.033695,23.927127,part_029,part_045,19,0
1,434,close,43.2545,-1.177937,1.5169,-0.033395,23.557849,-0.018622,23.553236,-0.033607,23.611223,part_029,part_045,19,0
1,435,close,42.9196,-1.178265,1.5171,-0.033317,23.294998,-0.018522,23.290329,-0.033529,23.350918,part_029,part_045,19,0
1,436,close,42.6451,-1.178265,1.5172,-0.033300,23.080410,-0.018505,23.075699,-0.033512,23.136570,part_029,part_045,19,0
1,437,close,42.4202,-1.178265,1.5172,-0.033317,22.904648,-0.018522,22.899929,-0.033529,22.959875,part_029,part_045,19,0
1,438,close,42.2360,-1.178265,1.5171,-0.033317,22.760915,-0.018522,22.756166,-0.033529,22.814307,part_029,part_045,19,0
1,439,close,42.0850,-1.177937,1.5169,-0.033365,22.643783,-0.018592,22.639016,-0.033577,22.695329,part_029,part_045,19,0
1,440,close,41.9612,-1.177937,1.5167,-0.033424,22.547281,-0.018651,22.542492,-0.033636,22.596248,part_029,part_045,19,0
1,441,close,40.7042,-1.174155,1.5075,-0.033186,21.567168,-0.018668,21.563034,-0.033397,21.575414,part_029,part_046,19,0
1,442,close,39.6740,-1.175525,1.5104,-0.033628,20.739082,-0.019018,20.739707,-0.033840,20.713532,part_029,part_061,19,0
1,443,close,38.8299,-1.176210,1.5125,-0.033239,19.970652,-0.018582,19.971417,-0.033450,20.004004,part_029,part_061,19,0
1,444,close,38.1382,-1.176895,1.5137,-0.032981,19.336772,-0.018279,19.337679,-0.033194,19.387054,part_029,part_061,19,0
1,445,close,37.5714,-1.177252,1.5145,-0.033833,18.816368,-0.019106,18.817437,-0.034045,18.879644,part_029,part_061,19,0
1,446,close,37.1070,-1.177252,1.5148,-0.033787,18.388636,-0.019060,18.389840,-0.033998,18.462321,part_029,part_061,19,0
1,447,close,36.7265,-1.177252,1.5150,-0.033762,18.038147,-0.019035,18.039504,-0.033975,18.119737,part_029,part_061,19,0
1,448,close,36.4147,-1.177252,1.5147,-0.033803,17.748852,-0.019077,17.750263,-0.034016,17.822588,part_029,part_061,19,0
1,449,close,36.1592,-1.177252,1.5146,-0.033816,17.512148,-0.019089,17.513659,-0.034028,17.574931,part_029,part_061,19,0
1,450,close,35.9498,-1.176895,1.5143,-0.033882,17.318194,-0.019179,17.319662,-0.034094,17.372604,part_029,part_060,19,0
1,451,close,35.7783,-1.176895,1.5141,-0.032905,17.157325,-0.018203,17.158699,-0.033117,17.205616,part_029,part_060,19,0
1,452,close,35.6377,-1.176895,1.5138,-0.032981,17.025714,-0.018279,17.026936,-0.033194,17.069199,part_029,part_060,19,0
1,453,close,35.5225,-1.176568,1.5134,-0.033059,16.918353,-0.018378,16.919433,-0.033271,16.958135,part_029,part_060,19,0
1,454,close,34.5252,-1.173470,1.5060,-0.032507,15.966546,-0.018036,15.965595,-0.032719,15.991567,part_029,part_059,19,0
1,455,close,33.7080,-1.174513,1.5082,-0.033068,15.174589,-0.018526,15.173675,-0.033279,15.198570,part_029,part_059,19,0
1,456,close,33.0383,-1.175198,1.5097,-0.032778,14.526269,-0.018190,14.525396,-0.032988,14.549437,part_029,part_059,19,0
1,457,close,32.4896,-1.175525,1.5106,-0.033582,13.995220,-0.018971,13.994391,-0.033793,14.017258,part_029,part_059,19,0
1,458,close,32.0400,-1.175525,1.5111,-0.033529,13.561491,-0.018919,13.560703,-0.033741,13.582051,part_029,part_059,19,0
1,459,close,31.6716,-1.175525,1.5112,-0.033499,13.205615,-0.018889,13.204865,-0.033711,13.224985,part_029,part_059,19,0
1,460,close,31.3697,-1.175525,1.5113,-0.033486,12.914095,-0.018876,12.913378,-0.033699,12.932112,part_029,part_059,19,0
1,461,close,31.1223,-1.175525,1.5111,-0.033516,12.675209,-0.018906,12.674521,-0.033728,12.691795,part_029,part_059,19,0
1,462,close,30.9196,-1.175525,1.5108,-0.033556,12.478740,-0.018946,12.478077,-0.033768,12.494175,part_029,part_059,19,0
1,463,close,30.7535,-1.175525,1.5106,-0.033603,12.318407,-0.018992,12.317764,-0.033815,12.332622,part_029,part_059,19,0
1,464,close,30.6174,-1.175525,1.5104,-0.033615,12.187116,-0.019005,12.186492,-0.033828,12.200144,part_029,part_059,19,0
1,465,close,30.5059,-1.175525,1.5101,-0.033675,12.079474,-0.019064,12.078864,-0.033887,12.091532,part_029,part_059,19,0
1,466,close,29.8728,-1.173470,1.5055,-0.032596,11.409075,-0.018125,11.392804,-0.032807,11.409172,part_029,part_063,19,0
1,467,close,29.3540,-1.173828,1.5068,-0.033356,10.801697,-0.018861,10.785479,-0.033569,10.801794,part_029,part_063,19,0
1,468,close,28.9289,-1.174155,1.5077,-0.033173,10.304370,-0.018656,10.288198,-0.033385,10.304472,part_029,part_063,19,0
1,469,close,28.5805,-1.174155,1.5082,-0.033109,9.899012,-0.018591,9.882902,-0.033322,9.899115,part_029,part_063,19,0
1,470,close,28.2951,-1.174840,1.5084,-0.033025,9.564556,-0.018461,9.548448,-0.033237,9.564660,part_029,part_063,19,0
1,471,close,28.0612,-1.174840,1.5085,-0.033012,9.291735,-0.018448,9.275672,-0.033225,9.291841,part_029,part_063,19,0
1,472,close,27.8695,-1.174840,1.5085,-0.033012,9.068228,-0.018448,9.052204,-0.033225,9.068335,part_029,part_063,19,0
1,473,close,27.7125,-1.174840,1.5084,-0.033042,8.885217,-0.018478,8.869226,-0.033255,8.885325,part_029,part_063,19,0
1,474,close,27.5838,-1.174840,1.5082,-0.033059,8.735255,-0.018495,8.719290,-0.033272,8.735363,part_029,part_063,19,0
1,475,close,27.2436,-1.173470,1.5062,-0.033477,8.340093,-0.019006,8.324304,-0.033689,8.340203,part_029,part_063,19,0
1,476,close,26.9649,-1.173798,1.5067,-0.033362,8.015252,-0.018868,7.999500,-0.033575,8.015367,part_029,part_063,19,0
1,477,close,26.7364,-1.174155,1.5069,-0.033313,7.748850,-0.018795,7.733125,-0.033527,7.748963,part_029,part_063,19,0
1,478,close,26.5492,-1.174155,1.5071,-0.033283,7.531327,-0.018766,7.515646,-0.033497,7.531441,part_029,part_063,19,0
1,479,close,26.3959,-1.174155,1.5072,-0.033267,7.353266,-0.018749,7.337621,-0.033480,7.353380,part_029,part_063,19,0
1,480,close,26.2702,-1.174155,1.5071,-0.033267,7.207304,-0.018749,7.191690,-0.033480,7.207419,part_029,part_063,19,0
1,481,close,26.0408,-1.173470,1.5061,-0.033498,6.942246,-0.019027,6.926740,-0.033712,6.942362,part_029,part_063,19,0
1,482,close,25.8528,-1.173470,1.5062,-0.033469,6.724212,-0.018997,6.708753,-0.033682,6.724329,part_029,part_063,19,0
1,483,close,25.6988,-1.173470,1.5063,-0.033469,6.545669,-0.018997,6.530250,-0.033682,6.545787,part_029,part_063,19,0
1,484,close,25.5726,-1.173470,1.5062,-0.033469,6.399417,-0.018997,6.384031,-0.033682,6.399536,part_029,part_063,19,0
1,485,close,25.3789,-1.173470,1.5056,-0.032587,6.174935,-0.018116,6.159601,-0.032801,6.175056,part_029,part_063,19,0
1,486,close,25.2202,-1.173470,1.5059,-0.032541,5.991258,-0.018070,5.975967,-0.032754,5.991380,part_029,part_063,19,0
1,487,close,25.0901,-1.173470,1.5058,-0.032545,5.840705,-0.018074,5.825450,-0.032759,5.840827,part_029,part_063,19,0
1,488,hold,24.9835,-1.173470,1.5058,-0.032575,5.717358,-0.018103,5.702133,-0.032789,5.717481,part_029,part_063,19,0
1,489,hold,24.8962,-1.173470,1.5057,-0.032575,5.616403,-0.018103,5.601202,-0.032789,5.616526,part_029,part_063,19,0
