physics_step,sim_time_s,phase,label,tcp_x,tcp_y,tcp_z,obj_x,obj_y,obj_z,quat_w,quat_x,quat_y,quat_z,q5_deg,q5_cmd_deg,target_error_m,object_drift_m,object_speed_mps,tilt_deg,upright_z,marker,attach_calls_total,posewrite_calls_total
0,0.0,settle,initial_settle,0.343719,-1e-06,0.343422,0.213861,-0.195732,0.025001,1.0,5.8e-05,-2.3e-05,-0.000166,45.0,45.0,0.354573,0.012119,0.002491,0.0072,1.0,0,0,0
1,0.01,settle,initial_settle,0.34377,-2e-06,0.343124,0.213863,-0.195729,0.025,1.0,5e-06,2.1e-05,-0.00017,45.0,45.0,0.354369,0.012118,0.000826,0.0025,1.0,0,0,0
2,0.02,settle,initial_settle,0.343812,-2e-06,0.342881,0.213862,-0.195728,0.025,1.0,-1.8e-05,-4e-06,-0.000164,45.0,45.0,0.354202,0.012118,0.000453,0.0021,1.0,0,0,0
3,0.03,settle,initial_settle,0.343845,-2e-06,0.342684,0.213861,-0.19573,0.025,1.0,9e-06,-1.5e-05,-0.000164,45.0001,45.0,0.354067,0.012118,0.000617,0.002,1.0,0,0,0
4,0.04,settle,initial_settle,0.343872,-2e-06,0.342525,0.213863,-0.19573,0.025,1.0,8e-06,1.9e-05,-0.00017,45.0001,45.0,0.353958,0.012118,0.000745,0.0023,1.0,0,0,0
5,0.05,settle,initial_settle,0.343894,-2e-06,0.342396,0.213862,-0.195728,0.025,1.0,-1.8e-05,-1e-06,-0.000165,45.0001,45.0,0.35387,0.012118,0.00043,0.0021,1.0,0,0,0
6,0.06,settle,initial_settle,0.343911,-2e-06,0.342292,0.213861,-0.19573,0.025,1.0,7e-06,-1.6e-05,-0.000163,45.0001,45.0,0.353799,0.012118,0.000657,0.002,1.0,0,0,0
7,0.07,settle,initial_settle,0.343925,-2e-06,0.342209,0.213863,-0.19573,0.025,1.0,1.1e-05,1.7e-05,-0.00017,45.0001,45.0,0.353741,0.012118,0.000708,0.0023,1.0,0,0,0
8,0.08,settle,initial_settle,0.343936,-2e-06,0.342141,0.213862,-0.195728,0.025,1.0,-1.7e-05,3e-06,-0.000165,45.0001,45.0,0.353695,0.012118,0.000431,0.002,1.0,0,0,0
9,0.09,settle,initial_settle,0.343945,-2e-06,0.342086,0.213861,-0.19573,0.025,1.0,5e-06,-1.7e-05,-0.000163,45.0001,45.0,0.353657,0.012118,0.000697,0.0021,1.0,0,0,0
10,0.1,settle,initial_settle,0.343953,-2e-06,0.342042,0.213863,-0.19573,0.025,1.0,1.3e-05,1.6e-05,-0.000169,45.0001,45.0,0.353627,0.012118,0.000667,0.0024,1.0,0,0,0
11,0.11,settle,initial_settle,0.343959,-2e-06,0.342006,0.213862,-0.195728,0.025,1.0,-1.6e-05,6e-06,-0.000166,45.0001,45.0,0.353602,0.012118,0.000447,0.002,1.0,0,0,0
12,0.12,settle,initial_settle,0.343964,-2e-06,0.341978,0.213861,-0.195729,0.025,1.0,3e-06,-1.8e-05,-0.000162,45.0001,45.0,0.353583,0.012118,0.000731,0.0021,1.0,0,0,0
13,0.13,settle,initial_settle,0.343967,-2e-06,0.341954,0.213863,-0.19573,0.025,1.0,1.5e-05,1.3e-05,-0.000169,45.0001,45.0,0.353567,0.012118,0.000611,0.0023,1.0,0,0,0
14,0.14,settle,initial_settle,0.34397,-2e-06,0.341936,0.213863,-0.195728,0.025,1.0,-1.5e-05,8e-06,-0.000166,45.0001,45.0,0.353554,0.012118,0.000475,0.002,1.0,0,0,0
15,0.15,settle,initial_settle,0.343973,-2e-06,0.34192,0.213861,-0.195729,0.025,1.0,0.0,-1.9e-05,-0.000162,45.0001,45.0,0.353543,0.012118,0.000754,0.0022,1.0,0,0,0
16,0.16,settle,initial_settle,0.343975,-2e-06,0.341908,0.213862,-0.19573,0.025,1.0,1.7e-05,1.1e-05,-0.000169,45.0001,45.0,0.353535,0.012118,0.000556,0.0023,1.0,0,0,0
17,0.17,settle,initial_settle,0.343977,-2e-06,0.341898,0.213863,-0.195728,0.025,1.0,-1.4e-05,1e-05,-0.000167,45.0001,45.0,0.353528,0.012118,0.000514,0.0019,1.0,0,0,0
18,0.18,settle,initial_settle,0.343978,-2e-06,0.34189,0.213861,-0.195729,0.025,1.0,-2e-06,-1.9e-05,-0.000162,45.0001,45.0,0.353523,0.012118,0.000765,0.0022,1.0,0,0,0
19,0.19,settle,initial_settle,0.343979,-2e-06,0.341884,0.213862,-0.19573,0.025,1.0,1.8e-05,8e-06,-0.000168,45.0001,45.0,0.353518,0.012118,0.000503,0.0022,1.0,0,0,0
20,0.2,settle,initial_settle,0.34398,-2e-06,0.341879,0.213863,-0.195728,0.025,1.0,-1.1e-05,1.2e-05,-0.000167,45.0001,45.0,0.353515,0.012118,0.000562,0.0019,1.0,0,0,0
21,0.21,settle,initial_settle,0.343981,-2e-06,0.341874,0.213861,-0.195729,0.025,1.0,-5e-06,-1.9e-05,-0.000162,45.0001,45.0,0.353512,0.012118,0.000766,0.0023,1.0,0,0,0
22,0.22,settle,initial_settle,0.343981,-2e-06,0.341871,0.213862,-0.19573,0.025,1.0,1.8e-05,4e-06,-0.000168,45.0001,45.0,0.35351,0.012118,0.000456,0.0022,1.0,0,0,0
23,0.23,settle,initial_settle,0.343982,-2e-06,0.341868,0.213863,-0.195729,0.025,1.0,-9e-06,1.5e-05,-0.000168,45.0001,45.0,0.353508,0.012118,0.000615,0.002,1.0,0,0,0
24,0.24,settle,initial_settle,0.343982,-2e-06,0.341866,0.213861,-0.195729,0.025,1.0,-8e-06,-1.9e-05,-0.000162,45.0001,45.0,0.353506,0.012118,0.000745,0.0024,1.0,0,0,0
25,0.25,settle,initial_settle,0.343982,-2e-06,0.341864,0.213862,-0.19573,0.025,1.0,1.8e-05,1e-06,-0.000167,45.0001,45.0,0.353505,0.012118,0.000428,0.0021,1.0,0,0,0
26,0.26,settle,initial_settle,0.343982,-2e-06,0.341863,0.213863,-0.195729,0.025,1.0,-7e-06,1.6e-05,-0.000168,45.0001,45.0,0.353504,0.012118,0.000658,0.002,1.0,0,0,0
27,0.27,settle,initial_settle,0.343983,-2e-06,0.341862,0.213861,-0.195729,0.025,1.0,-1.1e-05,-1.8e-05,-0.000162,45.0001,45.0,0.353503,0.012118,0.000713,0.0023,1.0,0,0,0
28,0.28,settle,initial_settle,0.343983,-2e-06,0.341861,0.213862,-0.19573,0.025,1.0,1.7e-05,-3e-06,-0.000166,45.0001,45.0,0.353502,0.012118,0.000428,0.002,1.0,0,0,0
29,0.29,settle,initial_settle,0.343983,-2e-06,0.34186,0.213863,-0.195729,0.025,1.0,-5e-06,1.7e-05,-0.000169,45.0001,45.0,0.353502,0.012118,0.000702,0.0021,1.0,0,0,0
30,0.3,approach,approach_open_wp001,0.343909,-0.000775,0.341321,0.213861,-0.195728,0.025,1.0,-1.3e-05,-1.6e-05,-0.000162,45.0001,45.0,0.006979,2e-06,0.000664,0.0024,1.0,0,0,0
31,0.31,approach,approach_open_wp001,0.343608,-0.001453,0.340308,0.213861,-0.19573,0.025,1.0,1.6e-05,-6e-06,-0.000166,45.0001,45.0,0.00575,2e-06,0.000449,0.002,1.0,0,0,0
32,0.32,approach,approach_open_wp001,0.343289,-0.002005,0.339147,0.213863,-0.195729,0.025,1.0,-2e-06,1.9e-05,-0.000169,45.0001,45.0,0.004491,0.0,0.000741,0.0022,1.0,0,0,0
33,0.33,approach,approach_open_wp001,0.342987,-0.002455,0.338178,0.213861,-0.195728,0.025,1.0,-1.6e-05,-1.3e-05,-0.000162,45.0001,45.0,0.003465,2e-06,0.000601,0.0023,1.0,0,0,0
34,0.34,approach,approach_open_wp001,0.342711,-0.002822,0.337388,0.213861,-0.19573,0.025,1.0,1.5e-05,-8e-06,-0.000165,45.0001,45.0,0.002657,2e-06,0.000481,0.002,1.0,0,0,0
35,0.35,approach,approach_open_wp001,0.342465,-0.003122,0.336744,0.213863,-0.195729,0.025,1.0,0.0,1.9e-05,-0.00017,45.0001,45.0,0.002051,0.0,0.000761,0.0022,1.0,0,0,0
36,0.36,approach,approach_open_wp002,0.342798,-0.004154,0.337711,0.213861,-0.195728,0.025,1.0,-1.7e-05,-1e-05,-0.000163,45.0,45.0,0.009907,2e-06,0.000548,0.0023,1.0,0,0,0
37,0.37,approach,approach_open_wp002,0.342752,-0.005043,0.33833,0.213861,-0.19573,0.025,1.0,1.3e-05,-1.1e-05,-0.000164,45.0,45.0,0.009975,2e-06,0.000521,0.0019,1.0,0,0,0
