x,y,z_name,limits,pos_err_mm,tilt_deg,pos_ok,vertical_ok,q0,q1,q2,q3,seed_idx,iters
0.1,-0.02,descend,v6clip,1.988,16.978,True,False,-11.3099,18.1733,135.0,43.8047,1,26
0.1,-0.02,approach,urdf,0.0189,0.1962,True,True,-11.3099,-3.8413,138.046,45.9914,0,154
0.1,-0.02,approach,v6clip,2.965,3.1344,True,True,-11.3082,-1.3347,135.0,49.469,4,22
0.1,-0.0,descend,urdf,0.0268,0.2564,True,True,-0.0,7.4232,149.9734,22.8597,2,159
0.1,-0.0,descend,v6clip,2.3413,17.7157,True,False,-0.0,18.4526,135.0,44.263,3,37
0.1,-0.0,approach,urdf,0.0193,0.1997,True,True,-0.0,-4.2905,138.5526,45.9376,0,152
0.1,-0.0,approach,v6clip,2.9902,3.9275,True,True,0.0,-1.1819,135.0,50.1094,4,28
0.1,0.02,descend,urdf,0.0261,0.2533,True,True,11.3099,7.7235,149.3459,23.1839,2,159
0.1,0.02,descend,v6clip,1.988,16.978,True,False,11.3099,18.1733,135.0,43.8047,1,26
0.1,0.02,approach,urdf,0.0189,0.1962,True,True,11.3099,-3.8413,138.046,45.9914,0,154
0.1,0.02,approach,v6clip,2.9674,3.1331,True,True,11.3087,-1.3353,135.0,49.4684,4,22
0.1,0.04,descend,urdf,0.0242,0.2419,True,True,21.8014,8.589,147.5253,24.1275,2,159
0.1,0.04,descend,v6clip,2.9444,13.943,True,False,21.8014,17.0966,135.0,41.8463,0,47
0.1,0.04,approach,urdf,0.0189,0.1983,True,True,21.8014,-2.5505,136.5474,46.2014,0,158
0.1,0.04,approach,v6clip,2.6605,1.0507,True,True,21.7855,-1.6121,135.0,47.6628,4,18
0.1,0.06,descend,urdf,0.0208,0.2184,True,True,30.9638,9.9339,144.6664,25.6181,2,159
0.1,0.06,descend,v6clip,2.9032,10.1682,True,False,30.9638,15.9739,135.0,39.1943,0,58
0.1,0.06,approach,urdf,0.0222,0.237,True,True,30.9638,-0.5592,134.1111,46.685,0,159
0.1,0.06,approach,v6clip,0.0222,0.2364,True,True,30.9638,-0.5596,134.1116,46.6845,0,159
0.1,0.08,descend,urdf,0.0181,0.1997,True,True,38.6598,11.6695,140.9348,27.5955,2,153
0.1,0.08,descend,v6clip,2.9977,5.567,True,False,38.6598,14.9351,135.0,35.6319,3,80
0.1,0.08,approach,urdf,0.0274,0.2992,True,True,38.6598,1.9372,130.8446,47.5174,0,159
0.1,0.08,approach,v6clip,0.0274,0.2992,True,True,38.6598,1.9372,130.8446,47.5174,0,159
0.1,0.1,descend,urdf,0.017,0.1972,True,True,45.0,13.7175,136.4812,29.9985,2,129
0.1,0.1,descend,v6clip,2.4957,0.8134,True,True,44.9325,14.3264,135.0,31.487,4,15
0.1,0.1,approach,urdf,0.0333,0.3754,True,True,45.0,4.7781,126.8507,48.7466,0,159
0.1,0.1,approach,v6clip,0.0333,0.3754,True,True,45.0,4.7781,126.8507,48.7466,0,159
0.1,0.12,descend,urdf,0.1002,0.0042,True,True,50.1944,15.933,131.6507,32.4121,2,5
0.1,0.12,descend,v6clip,0.1002,0.0042,True,True,50.1944,15.933,131.6507,32.4121,2,5
0.1,0.12,approach,urdf,0.0394,0.458,True,True,50.1944,7.8537,122.2144,50.3898,0,159
0.1,0.12,approach,v6clip,0.0394,0.458,True,True,50.1944,7.8537,122.2144,50.3898,0,159
0.1,0.14,descend,urdf,0.0156,0.1984,True,True,54.4623,18.2996,126.3008,35.2012,2,146
0.1,0.14,descend,v6clip,0.0156,0.1984,True,True,54.4623,18.2996,126.3008,35.2012,2,146
0.1,0.14,approach,urdf,0.0166,0.199,True,True,54.4623,10.8816,117.3186,51.9988,1,129
0.1,0.14,approach,v6clip,0.0166,0.199,True,True,54.4623,10.8816,117.3186,51.9988,1,129
0.1,0.16,descend,urdf,0.0303,0.3955,True,True,57.9946,21.2969,119.6718,39.4268,1,159
0.1,0.16,descend,v6clip,0.0303,0.3955,True,True,57.9946,21.2969,119.6718,39.4268,1,159
0.1,0.16,approach,urdf,0.8927,0.0482,True,True,57.9946,14.2525,111.9648,53.7345,1,9
0.1,0.16,approach,v6clip,0.8927,0.0482,True,True,57.9946,14.2525,111.9648,53.7345,1,9
0.1,0.18,descend,urdf,0.0165,0.2208,True,True,60.9454,24.0654,113.391,42.7644,1,159
0.1,0.18,descend,v6clip,0.0165,0.2208,True,True,60.9454,24.0654,113.391,42.7644,1,159
0.1,0.18,approach,urdf,0.0159,0.1988,True,True,60.9454,17.4427,105.8523,56.5062,1,158
0.1,0.18,approach,v6clip,0.0159,0.1988,True,True,60.9454,17.4427,105.8523,56.5062,1,158
0.1,0.2,descend,urdf,0.0147,0.1996,True,True,63.4349,26.8783,106.9377,45.9844,1,64
0.1,0.2,descend,v6clip,0.0147,0.1996,True,True,63.4349,26.8783,106.9377,45.9844,1,64
0.1,0.2,approach,urdf,0.0156,0.1971,True,True,63.4349,21.0719,99.0825,59.6485,3,101
0.1,0.2,approach,v6clip,0.0156,0.1971,True,True,63.4349,21.0719,99.0825,59.6485,3,101
0.1,0.22,descend,urdf,0.0314,0.4296,True,True,65.556,29.9955,99.7704,49.8045,1,159
0.1,0.22,descend,v6clip,0.0314,0.4296,True,True,65.556,29.9955,99.7704,49.8045,1,159
0.1,0.22,approach,urdf,0.0299,0.3776,True,True,65.556,25.2762,90.9509,64.1505,0,159
0.1,0.22,approach,v6clip,0.0299,0.3776,True,True,65.556,25.2762,90.9509,64.1505,0,159
0.1,0.24,descend,urdf,0.0263,0.3595,True,True,67.3801,33.5337,91.6089,54.4978,3,159
0.1,0.24,descend,v6clip,0.0263,0.3595,True,True,67.3801,33.5337,91.6089,54.4978,3,159
0.1,0.24,approach,urdf,0.2731,0.0004,True,True,67.3801,29.0287,83.2445,67.7265,0,9
0.1,0.24,approach,v6clip,0.2731,0.0004,True,True,67.3801,29.0287,83.2445,67.7265,0,9
0.1,0.26,descend,urdf,0.0149,0.1998,True,True,68.9625,37.7262,81.9006,60.573,0,115
0.1,0.26,descend,v6clip,0.0149,0.1998,True,True,68.9625,37.7262,81.9006,60.573,0,115
0.1,0.26,approach,urdf,0.0553,0.6927,True,True,68.9625,32.9873,74.9964,71.3236,0,159
0.1,0.26,approach,v6clip,0.0553,0.6927,True,True,68.9625,32.9873,74.9964,71.3236,0,159
0.12,-0.26,descend,urdf,0.0152,0.2031,True,True,-65.2249,39.163,78.4882,62.1457,0,159
0.12,-0.26,descend,v6clip,0.0152,0.2031,True,True,-65.2249,39.163,78.4882,62.1457,0,159
0.12,-0.26,approach,urdf,0.0887,1.1055,True,True,-65.2249,34.6243,71.4734,72.7968,0,159
0.12,-0.26,approach,v6clip,0.0887,1.1055,True,True,-65.2249,34.6243,71.4734,72.7968,0,159
0.12,-0.24,descend,urdf,0.0337,0.4545,True,True,-63.4349,35.7337,86.585,58.1358,0,159
0.12,-0.24,descend,v6clip,0.0337,0.4545,True,True,-63.4349,35.7337,86.585,58.1358,0,159
0.12,-0.24,approach,urdf,0.0212,0.2664,True,True,-63.4349,30.8357,79.5575,69.3404,0,159
0.12,-0.24,approach,v6clip,0.0212,0.2664,True,True,-63.4349,30.8357,79.5575,69.3404,0,159
0.12,-0.22,descend,urdf,0.0145,0.1984,True,True,-61.3895,31.8104,95.6132,52.3781,3,100
0.12,-0.22,descend,v6clip,0.0145,0.1984,True,True,-61.3895,31.8104,95.6132,52.3781,3,100
0.12,-0.22,approach,urdf,0.0176,0.2227,True,True,-61.3895,27.1298,87.2173,65.8755,0,159
0.12,-0.22,approach,v6clip,0.0176,0.2227,True,True,-61.3895,27.1298,87.2173,65.8755,0,159
0.12,-0.2,descend,urdf,0.017,0.2321,True,True,-59.0362,28.5738,103.0557,48.1385,1,159
0.12,-0.2,descend,v6clip,0.017,0.2321,True,True,-59.0362,28.5738,103.0557,48.1385,1,159
0.12,-0.2,approach,urdf,0.0381,0.4807,True,True,-59.0362,23.5395,94.3871,62.5542,0,159
0.12,-0.2,approach,v6clip,0.0381,0.4807,True,True,-59.0362,23.5395,94.3871,62.5542,0,159
0.12,-0.18,descend,urdf,0.0146,0.1974,True,True,-56.3099,25.8338,109.3686,44.995,1,103
0.12,-0.18,descend,v6clip,0.0146,0.1974,True,True,-56.3099,25.8338,109.3686,44.995,1,103
0.12,-0.18,approach,urdf,0.0285,0.3599,True,True,-56.3099,19.4654,102.1003,58.0744,1,159
0.12,-0.18,approach,v6clip,0.0285,0.3599,True,True,-56.3099,19.4654,102.1003,58.0744,1,159
0.12,-0.16,descend,urdf,0.0217,0.2887,True,True,-53.1301,23.1095,115.5656,41.6136,1,159
0.12,-0.16,descend,v6clip,0.0217,0.2887,True,True,-53.1301,23.1095,115.5656,41.6136,1,159
0.12,-0.16,approach,urdf,0.0158,0.1967,True,True,-53.1301,16.2473,108.0163,55.5397,1,134
0.12,-0.16,approach,v6clip,0.0158,0.1967,True,True,-53.1301,16.2473,108.0163,55.5397,1,134
0.12,-0.14,descend,urdf,0.0331,0.4288,True,True,-49.3987,20.6158,121.2086,38.6044,1,159
0.12,-0.14,descend,v6clip,0.0331,0.4288,True,True,-49.3987,20.6158,121.2086,38.6044,1,159
0.12,-0.14,approach,urdf,0.0163,0.198,True,True,-49.3987,13.358,113.1392,53.7007,1,68
0.12,-0.14,approach,v6clip,0.0163,0.198,True,True,-49.3987,13.358,113.1392,53.7007,1,68
0.12,-0.12,descend,urdf,0.0157,0.1974,True,True,-45.0,17.9283,127.1277,34.7466,2,137
0.12,-0.12,descend,v6clip,0.0157,0.1974,True,True,-45.0,17.9283,127.1277,34.7466,2,137
0.12,-0.12,approach,urdf,0.0165,0.1965,True,True,-45.0,10.4096,118.0952,51.6917,1,134
0.12,-0.12,approach,v6clip,0.0165,0.1965,True,True,-45.0,10.4096,118.0952,51.6917,1,134
0.12,-0.1,descend,urdf,0.1002,0.0042,True,True,-39.8056,15.933,131.6507,32.4121,2,5
0.12,-0.1,descend,v6clip,0.1002,0.0042,True,True,-39.8056,15.933,131.6507,32.4121,2,5
0.12,-0.1,approach,urdf,0.0394,0.458,True,True,-39.8056,7.8537,122.2144,50.3898,0,159
0.12,-0.1,approach,v6clip,0.0394,0.458,True,True,-39.8056,7.8537,122.2144,50.3898,0,159
0.12,-0.08,descend,urdf,0.0168,0.1973,True,True,-33.6901,14.1496,135.5355,30.5122,2,120
0.12,-0.08,descend,v6clip,2.2642,0.0891,True,True,-33.6122,14.2788,135.0,30.6321,4,13
0.12,-0.08,approach,urdf,0.0345,0.3914,True,True,-33.6901,5.3656,125.9896,49.0363,0,159
0.12,-0.08,approach,v6clip,0.0345,0.3914,True,True,-33.6901,5.3656,125.9896,49.0363,0,159
0.12,-0.06,descend,urdf,0.0174,0.1966,True,True,-26.5651,12.6018,138.9136,28.6812,2,145
0.12,-0.06,descend,v6clip,2.898,3.2975,True,True,-26.5616,14.5721,135.0,33.7254,4,16
0.12,-0.06,approach,urdf,0.0301,0.3335,True,True,-26.5651,3.2432,129.0441,48.0462,0,159
0.12,-0.06,approach,v6clip,0.0301,0.3335,True,True,-26.5651,3.2432,129.0441,48.0462,0,159
0.12,-0.04,descend,urdf,0.0181,0.1988,True,True,-18.4349,11.4289,141.4541,27.3158,2,155
0.12,-0.04,descend,v6clip,2.9894,6.1782,True,False,-18.4349,15.0511,135.0,36.1271,3,72
0.12,-0.04,approach,urdf,0.0266,0.2904,True,True,-18.4349,1.5982,131.3017,47.3905,0,159
0.12,-0.04,approach,v6clip,0.0266,0.2904,True,True,-18.4349,1.5982,131.3017,47.3905,0,159
0.12,-0.02,descend,urdf,0.0187,0.2014,True,True,-9.4623,10.6924,143.0398,26.4692,2,159
0.12,-0.02,descend,v6clip,2.7529,8.1856,True,False,-9.4623,15.4877,135.0,37.6979,3,60
0.12,-0.02,approach,urdf,0.0245,0.2639,True,True,-9.4623,0.5477,132.6916,47.0246,0,159
0.12,-0.02,approach,v6clip,0.0245,0.2637,True,True,-9.4623,0.5475,132.6917,47.0244,0,159
0.12,-0.0,descend,urdf,0.0194,0.2073,True,True,-0.0,10.4431,143.5753,26.1888,2,159
0.12,-0.0,descend,v6clip,2.9647,8.7603,True,False,-0.0,15.6151,135.0,38.1452,1,44
0.12,-0.0,approach,urdf,0.0237,0.255,True,True,-0.0,0.1854,133.1613,46.9083,0,159
0.12,-0.0,approach,v6clip,0.0237,0.2546,True,True,-0.0,0.1852,133.1616,46.9079,0,159
0.12,0.02,descend,urdf,0.0187,0.2014,True,True,9.4623,10.6924,143.0398,26.4692,2,159
0.12,0.02,descend,v6clip,2.7529,8.1856,True,False,9.4623,15.4877,135.0,37.6979,3,60
0.12,0.02,approach,urdf,0.0245,0.2639,True,True,9.4623,0.5477,132.6916,47.0246,0,159
0.12,0.02,approach,v6clip,0.0245,0.2637,True,True,9.4623,0.5475,132.6917,47.0244,0,159
0.12,0.04,descend,urdf,0.0181,0.1988,True,True,18.4349,11.4289,141.4541,27.3158,2,155
0.12,0.04,descend,v6clip,2.9894,6.1782,True,False,18.4349,15.0511,135.0,36.1271,3,72
0.12,0.04,approach,urdf,0.0266,0.2904,True,True,18.4349,1.5982,131.3017,47.3905,0,159
0.12,0.04,approach,v6clip,0.0266,0.2904,True,True,18.4349,1.5982,131.3017,47.3905,0,159
0.12,0.06,descend,urdf,0.0174,0.1966,True,True,26.5651,12.6018,138.9136,28.6812,2,145
0.12,0.06,descend,v6clip,2.8437,3.3192,True,True,26.5627,14.5778,135.0,33.7414,4,16
0.12,0.06,approach,urdf,0.0301,0.3335,True,True,26.5651,3.2432,129.0441,48.0462,0,159
0.12,0.06,approach,v6clip,0.0301,0.3335,True,True,26.5651,3.2432,129.0441,48.0462,0,159
0.12,0.08,descend,urdf,0.0168,0.1973,True,True,33.6901,14.1496,135.5355,30.5122,2,120
0.12,0.08,descend,v6clip,2.0348,0.01,True,True,33.6489,14.283,135.0,30.707,4,13
0.12,0.08,approach,urdf,0.0345,0.3914,True,True,33.6901,5.3656,125.9896,49.0363,0,159
0.12,0.08,approach,v6clip,0.0345,0.3914,True,True,33.6901,5.3656,125.9896,49.0363,0,159
0.12,0.1,descend,urdf,0.1002,0.0042,True,True,39.8056,15.933,131.6507,32.4121,2,5
0.12,0.1,descend,v6clip,0.1002,0.0042,True,True,39.8056,15.933,131.6507,32.4121,2,5
0.12,0.1,approach,urdf,0.0394,0.458,True,True,39.8056,7.8537,122.2144,50.3898,0,159
0.12,0.1,approach,v6clip,0.0394,0.458,True,True,39.8056,7.8537,122.2144,50.3898,0,159
0.12,0.12,descend,urdf,0.0157,0.1974,True,True,45.0,17.9283,127.1277,34.7466,2,137
0.12,0.12,descend,v6clip,0.0157,0.1974,True,True,45.0,17.9283,127.1277,34.7466,2,137
0.12,0.12,approach,urdf,0.0165,0.1965,True,True,45.0,10.4096,118.0952,51.6917,1,134
0.12,0.12,approach,v6clip,0.0165,0.1965,True,True,45.0,10.4096,118.0952,51.6917,1,134
0.12,0.14,descend,urdf,0.0331,0.4288,True,True,49.3987,20.6158,121.2086,38.6044,1,159
0.12,0.14,descend,v6clip,0.0331,0.4288,True,True,49.3987,20.6158,121.2086,38.6044,1,159
0.12,0.14,approach,urdf,0.0163,0.198,True,True,49.3987,13.358,113.1392,53.7007,1,68
0.12,0.14,approach,v6clip,0.0163,0.198,True,True,49.3987,13.358,113.1392,53.7007,1,68
0.12,0.16,descend,urdf,0.0217,0.2887,True,True,53.1301,23.1095,115.5656,41.6136,1,159
0.12,0.16,descend,v6clip,0.0217,0.2887,True,True,53.1301,23.1095,115.5656,41.6136,1,159
0.12,0.16,approach,urdf,0.0158,0.1967,True,True,53.1301,16.2473,108.0163,55.5397,1,134
0.12,0.16,approach,v6clip,0.0158,0.1967,True,True,53.1301,16.2473,108.0163,55.5397,1,134
0.12,0.18,descend,urdf,0.0146,0.1974,True,True,56.3099,25.8338,109.3686,44.995,1,103
0.12,0.18,descend,v6clip,0.0146,0.1974,True,True,56.3099,25.8338,109.3686,44.995,1,103
0.12,0.18,approach,urdf,0.0285,0.3599,True,True,56.3099,19.4654,102.1003,58.0744,1,159
0.12,0.18,approach,v6clip,0.0285,0.3599,True,True,56.3099,19.4654,102.1003,58.0744,1,159
0.12,0.2,descend,urdf,0.017,0.2321,True,True,59.0362,28.5738,103.0557,48.1385,1,159
0.12,0.2,descend,v6clip,0.017,0.2321,True,True,59.0362,28.5738,103.0557,48.1385,1,159
0.12,0.2,approach,urdf,0.0381,0.4807,True,True,59.0362,23.5395,94.3871,62.5542,0,159
0.12,0.2,approach,v6clip,0.0381,0.4807,True,True,59.0362,23.5395,94.3871,62.5542,0,159
0.12,0.22,descend,urdf,0.0145,0.1984,True,True,61.3895,31.8104,95.6132,52.3781,3,100
0.12,0.22,descend,v6clip,0.0145,0.1984,True,True,61.3895,31.8104,95.6132,52.3781,3,100
0.12,0.22,approach,urdf,0.0176,0.2227,True,True,61.3895,27.1298,87.2173,65.8755,0,159
0.12,0.22,approach,v6clip,0.0176,0.2227,True,True,61.3895,27.1298,87.2173,65.8755,0,159
0.12,0.24,descend,urdf,0.0337,0.4545,True,True,63.4349,35.7337,86.585,58.1358,0,159
0.12,0.24,descend,v6clip,0.0337,0.4545,True,True,63.4349,35.7337,86.585,58.1358,0,159
0.12,0.24,approach,urdf,0.0212,0.2664,True,True,63.4349,30.8357,79.5575,69.3404,0,159
0.12,0.24,approach,v6clip,0.0212,0.2664,True,True,63.4349,30.8357,79.5575,69.3404,0,159
0.12,0.26,descend,urdf,0.0152,0.2031,True,True,65.2249,39.163,78.4882,62.1457,0,159
0.12,0.26,descend,v6clip,0.0152,0.2031,True,True,65.2249,39.163,78.4882,62.1457,0,159
0.12,0.26,approach,urdf,0.0887,1.1055,True,True,65.2249,34.6243,71.4734,72.7968,0,159
0.12,0.26,approach,v6clip,0.0887,1.1055,True,True,65.2249,34.6243,71.4734,72.7968,0,159
0.14,-0.26,descend,urdf,0.0497,0.6582,True,True,-61.6992,40.8907,74.3782,64.0729,0,159
0.14,-0.26,descend,v6clip,0.0497,0.6582,True,True,-61.6992,40.8907,74.3782,64.0729,0,159
0.14,-0.26,approach,urdf,0.1362,1.6894,True,True,-61.6992,36.4975,67.3885,74.4245,0,159
0.14,-0.26,approach,v6clip,0.1362,1.6894,True,True,-61.6992,36.4975,67.3885,74.4245,0,159
0.14,-0.24,descend,urdf,0.0148,0.1983,True,True,-59.7436,37.5699,82.2663,60.3621,0,133
0.14,-0.24,descend,v6clip,0.0148,0.1983,True,True,-59.7436,37.5699,82.2663,60.3621,0,133
0.14,-0.24,approach,urdf,0.0526,0.6587,True,True,-59.7436,32.8362,75.3194,71.1857,0,159
0.14,-0.24,approach,v6clip,0.0526,0.6587,True,True,-59.7436,32.8362,75.3194,71.1857,0,159
0.14,-0.22,descend,urdf,0.0282,0.3844,True,True,-57.5288,33.6699,91.2908,54.655,3,159
0.14,-0.22,descend,v6clip,0.0282,0.3844,True,True,-57.5288,33.6699,91.2908,54.655,3,159
0.14,-0.22,approach,urdf,1.3543,0.0836,True,True,-57.5288,28.8921,83.2162,67.8081,0,8
0.14,-0.22,approach,v6clip,1.3543,0.0836,True,True,-57.5288,28.8921,83.2162,67.8081,0,8
0.14,-0.2,descend,urdf,0.036,0.494,True,True,-55.008,30.4153,98.7979,50.2928,1,159
0.14,-0.2,descend,v6clip,0.036,0.494,True,True,-55.008,30.4153,98.7979,50.2928,1,159
0.14,-0.2,approach,urdf,0.0269,0.3399,True,True,-55.008,25.7874,89.928,64.6245,0,159
0.14,-0.2,approach,v6clip,0.0269,0.3399,True,True,-55.008,25.7874,89.928,64.6245,0,159
0.14,-0.18,descend,urdf,0.0146,0.1987,True,True,-52.125,27.6614,105.1485,46.9914,1,130
0.14,-0.18,descend,v6clip,0.0146,0.1987,True,True,-52.125,27.6614,105.1485,46.9914,1,130
0.14,-0.18,approach,urdf,0.0156,0.1972,True,True,-52.125,21.9949,97.3152,60.4927,3,143
0.14,-0.18,approach,v6clip,0.0156,0.1972,True,True,-52.125,21.9949,97.3152,60.4927,3,143
0.14,-0.16,descend,urdf,0.0148,0.199,True,True,-48.8141,25.1922,110.8292,44.1776,1,135
0.14,-0.16,descend,v6clip,0.0148,0.199,True,True,-48.8141,25.1922,110.8292,44.1776,1,135
0.14,-0.16,approach,urdf,0.0235,0.2958,True,True,-48.8141,18.7427,103.452,57.5095,1,159
0.14,-0.16,approach,v6clip,0.0235,0.2958,True,True,-48.8141,18.7427,103.452,57.5095,1,159
0.14,-0.14,descend,urdf,0.0234,0.3098,True,True,-45.0,22.786,116.3002,41.2237,1,159
0.14,-0.14,descend,v6clip,0.0234,0.3098,True,True,-45.0,22.786,116.3002,41.2237,1,159
0.14,-0.14,approach,urdf,0.0161,0.1993,True,True,-45.0,15.84,108.7453,55.2153,1,123
0.14,-0.14,approach,v6clip,0.0161,0.1993,True,True,-45.0,15.84,108.7453,55.2153,1,123
0.14,-0.12,descend,urdf,0.0331,0.4288,True,True,-40.6013,20.6158,121.2086,38.6044,1,159
0.14,-0.12,descend,v6clip,0.0331,0.4288,True,True,-40.6013,20.6158,121.2086,38.6044,1,159
