sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,roll_deg,target_roll_deg,outlet_slope_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.026271645,19880810935657,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
1,0.041415295,19880826079307,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
2,0.067714596,19880852378608,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
3,0.084561086,19880869225098,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
4,0.106258791,19880890922803,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
5,0.122914578,19880907578590,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
6,0.141441772,19880926105784,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
7,0.167902682,19880952566694,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
8,0.184488167,19880969152179,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
9,0.206275623,19880990939635,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
10,0.223068481,19881007732493,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
11,0.241581306,19881026245318,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
12,0.267811744,19881052475756,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
13,0.284560977,19881069224989,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
14,0.306590456,19881091254468,preflight,29.179687500673822,24.760260009922945,74.97070312119259,232.0,37.0,-37.0,0.0,-1.0,29.179687500673822,-4.746093776022332,-4.746093776022332,7.915561623714708,88.94531248050403,74.97070312119259,43.41796873765237,66.6210937375487,-4.746093776022332,29.179687500673822
