sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,roll_deg,target_roll_deg,outlet_slope_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.021011414,18180288441147,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
1,0.04118007,18180308609803,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
2,0.067301278,18180334731011,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
3,0.083900203,18180351329936,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
4,0.105891711,18180373321444,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
5,0.122169065,18180389598798,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
6,0.13873716,18180406166893,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
7,0.158593147,18180426022880,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
8,0.185260908,18180452690641,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
9,0.204263255,18180471692988,preflight,29.267578137827087,27.899941287233293,71.89453122189903,232.0,13.0,21.0,0.0,-1.0,29.267578137827087,15.556640598886963,15.556640598886963,6.010693038907774,89.12109375481054,71.89453122189903,38.58398438177257,75.05859375834585,15.556640598886963,29.267578137827087
