sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.030321807,14383613917312,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
1,0.046950861,14383630546366,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
2,0.063512159,14383647107664,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
3,0.085437742,14383669033247,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
4,0.102050437,14383685645942,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
5,0.118617181,14383702212686,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
6,0.140495844,14383724091349,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
7,0.157084727,14383740680232,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
8,0.173603991,14383757199496,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
9,0.190147292,14383773742797,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
10,0.212491563,14383796087068,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
11,0.229043564,14383812639069,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
12,0.246716773,14383830312278,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
13,0.272344867,14383855940372,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
14,0.288902719,14383872498224,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
15,0.305360789,14383888956294,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
16,0.327560007,14383911155512,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
17,0.344034228,14383927629733,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
18,0.360587196,14383944182701,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
19,0.382829249,14383966424754,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
20,0.39930578,14383982901285,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
21,0.416012788,14383999608293,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
22,0.432303438,14384015898943,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
23,0.454263234,14384037858739,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
24,0.470424367,14384054019872,preflight,2.724609384473183,50.62906493083881,2.9882812621402994,104.0,13.0,9.0,0.0,-1.0,2.724609384473183,0.8789062569410163,2.9882812621402994,91.49414061417382,87.97851564370553,0.17578127430651508,2.724609384473183
