actual_tcp_x_m,actual_tcp_y_m,actual_tcp_z_m,arm_joint_err_max_rad,commanded_tcp_pose_error_mm,commanded_tcp_x_m,commanded_tcp_y_m,commanded_tcp_z_m,contact_point_below_top_mm,contact_point_z_m,cube_disp_xy_mm,fixed_jaw_face_gap_mm,fixed_jaw_penetration_mm,ik_failure_steps,jaw_tangent_error_deg,pass_all,pass_contact_height,pass_cube_displacement,pass_fixed_jaw_gap,pass_jaw_tangent,pass_no_penetration,pass_tcp_pose,target_tcp_x_m,target_tcp_y_m,target_tcp_z_m,tcp_pose_error_mm,trial
0.27573299407958984,0.06338965892791748,0.09161432087421417,0.17706666950550776,0.4419561089630563,0.2595818636344395,0.043996445006133075,0.03802622713865658,-3.7474035680536977,0.09163040215375469,0.04822660412173718,21.191349221706552,0.0,0,12.783463291511413,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,59.24983098152232,1
0.2752358913421631,0.06300581991672516,0.09177595376968384,0.17940096405193512,0.44188833180064596,0.2595819161941357,0.043996453939869284,0.03802617164119025,-3.9090772351795673,0.09179207582088056,0.04813865598407574,20.809169272995753,0.0,0,12.729648657241448,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,59.142249256940424,2
0.2745044231414795,0.06345796585083008,0.09134583175182343,0.17941050317395474,0.44049453217643414,0.2595829954443904,0.04399663738340846,0.03802502355768665,-3.4522286246762848,0.09133522721037728,0.04814063140656799,21.248902720276032,0.0,0,13.127274464582628,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,58.71342809885701,3
0.2757101058959961,0.06355631351470947,0.09130315482616425,0.175483038059552,0.6598697357279014,0.2593556160799187,0.043996666250654175,0.038025293240383604,-3.427133301516866,0.09131013188721786,0.0234163580898894,21.354124254582928,0.0,0,12.908846359180794,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,59.01670455506007,4
0.2766622304916382,0.06342583149671555,0.09146296977996826,0.17413963338149868,0.4411759067293152,0.259582468224106,0.04399654777013073,0.038025586437797604,-3.6079789943791325,0.09149097758008012,0.023151596906245686,21.23233524893782,0.0,0,12.625664988074421,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,59.378512582500534,5
0.27636051177978516,0.06355667114257812,0.09149762988090515,0.174396600905857,0.6609530193342049,0.2593547186670818,0.04399651358054302,0.03802624758773364,-3.6572111467257082,0.0915402097324267,0.023200222130981274,21.36634064199776,0.0,0,12.519439883560347,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,59.368846890085244,6
0.27550166845321655,0.06360435485839844,0.09147100150585175,0.17712587276933428,0.44175669082094954,0.259582077852501,0.04399647127399719,0.03802606373318666,-3.609150721583465,0.09149214930728446,0.02324619345017709,21.40601125586418,0.0,0,12.784188305050217,False,False,True,False,True,True,False,0.260000011920929,0.044000000000000004,0.03788299858570099,59.1295707884736,7
0.2766770124435425,0.06332628428936005,0.09143243730068207,0.17412658640008039,0.4402028622415944,0.2595832804979073,0.043996675691345896,0.03802478162405182,-3.5289847982687417,0.09141198338396973,0.02293854413437657,21.117945835911854,0.0,0,13.103814247863506,False,False,True,False,True,True,False,0.260000011920929,0.044000000000000004,0.03788299858570099,59.322592640190045,8
0.27469444274902344,0.06338644027709961,0.09125731885433197,0.17847846621920205,0.6594563400751939,0.2593560177989921,0.04399672443964628,0.03802492640566761,-3.431399285175024,0.09131439787087602,0.023384474843624048,21.199655048358622,0.0,0,12.398818471130248,False,False,True,False,True,True,False,0.260000011920929,0.044000000000000004,0.03788299858570099,58.65644404596647,9
0.2750225067138672,0.0635451078414917,0.09135028719902039,0.1779913654242064,0.4411610527573697,0.25958247972532145,0.04399654972502829,0.03802557420026202,-3.487148780640728,0.09137014736634172,0.023719952878309414,21.34611646982909,0.0,0,12.805241315921519,False,False,True,False,True,True,False,0.2599999523162842,0.044000000000000004,0.03788299858570099,58.876475207198624,10
